  ΓöÇΓöÇ EigenvalueEq (1129) ΓöÇΓöÇ
    [EigenvalueEq|d_dr] (-Γûí+clip_para)(id) = 0.34549122┬╖id (eigenvalue)  (residual=4.58e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+step)(id) = 1┬╖id (eigenvalue)  (residual=0.00e+00, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+abs)(id) = 1.6180343┬╖id (eigenvalue)  (residual=5.66e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+pow_half)(id) = 1.2720198┬╖id (eigenvalue)  (residual=2.23e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+id)(L1) = 1.6180343┬╖L1 (eigenvalue)  (residual=2.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sq)(L1) = 2.6180351┬╖L1 (eigenvalue)  (residual=7.00e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cube)(L1) = 4.2360707┬╖L1 (eigenvalue)  (residual=1.70e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+x4)(L1) = 6.8541079┬╖L1 (eigenvalue)  (residual=3.67e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+x5)(L1) = 11.090182┬╖L1 (eigenvalue)  (residual=7.41e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+inv)(L1) = 0.61803386┬╖L1 (eigenvalue)  (residual=8.26e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+inv_sq)(L1) = 0.38196585┬╖L1 (eigenvalue)  (residual=1.02e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sqrt_a)(L1) = 1.2720198┬╖L1 (eigenvalue)  (residual=8.50e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+exp)(L1) = 5.0431674┬╖L1 (eigenvalue)  (residual=1.09e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+log)(L1) = 0.48121204┬╖L1 (eigenvalue)  (residual=1.34e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sin)(L1) = 0.99888449┬╖L1 (eigenvalue)  (residual=1.02e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cos)(L1) = -0.047220446┬╖L1 (eigenvalue)  (residual=2.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sinh)(L1) = 2.4224397┬╖L1 (eigenvalue)  (residual=5.67e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+cosh)(L1) = 2.6207277┬╖L1 (eigenvalue)  (residual=5.24e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+tanh)(L1) = 0.92433854┬╖L1 (eigenvalue)  (residual=3.15e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+atan)(L1) = 1.0172221┬╖L1 (eigenvalue)  (residual=5.98e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss)(L1) = 0.072946052┬╖L1 (eigenvalue)  (residual=5.11e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss_x)(L1) = 0.11802922┬╖L1 (eigenvalue)  (residual=6.68e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sigmoid)(L1) = 0.83452386┬╖L1 (eigenvalue)  (residual=2.99e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+lgamma)(L1) = -0.11017967┬╖L1 (eigenvalue)  (residual=3.06e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+phi_pow)(L1) = 2.1784579┬╖L1 (eigenvalue)  (residual=2.27e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+lam_pow)(L1) = 22.521469┬╖L1 (eigenvalue)  (residual=9.38e-06, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sincos)(L1) = -0.047167771┬╖L1 (eigenvalue)  (residual=2.15e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+half_sq)(L1) = 1.3090176┬╖L1 (eigenvalue)  (residual=3.50e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+qtr_x4)(L1) = 1.713527┬╖L1 (eigenvalue)  (residual=9.16e-07, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+neg_inv_a)(L1) = -0.61803386┬╖L1 (eigenvalue)  (residual=8.26e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+gauss4)(L1) = 0.1466039┬╖L1 (eigenvalue)  (residual=2.57e-08, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+sin_shift)(L1) = -0.094334844┬╖L1 (eigenvalue)  (residual=9.65e-10, pts=8)
    [EigenvalueEq|d_dr] (-Γûí+J0)(L1) = 0.44510874┬╖L1 (eigenvalue)  (residual=1.24e-07, pts=8)
