  ΓöÇΓöÇ MasterEq (80) ΓöÇΓöÇ
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(x5) = -6.142221┬╖Xi_phi(x5) (damped)  (residual=1.49e-08, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(inv) = 0.0540634┬╖inv (Γûí-eigenvalue)  (residual=2.08e-17, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(inv) = 0.23251538┬╖Xi_phi(inv) (damped)  (residual=1.39e-17, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(inv_sq) = 0.14153982┬╖inv_sq (Γûí-eigenvalue)  (residual=6.94e-18, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(inv_sq) = 0.37621778┬╖Xi_phi(inv_sq) (damped)  (residual=6.94e-18, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(sqrt_a) = 0.02741918┬╖sqrt_a (Γûí-eigenvalue)  (residual=2.36e-16, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(sqrt_a) = -0.16558738┬╖Xi_phi(sqrt_a) (damped)  (residual=2.22e-16, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(half_sq) = 0.97012834┬╖half_sq (Γûí-eigenvalue)  (residual=5.68e-14, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(half_sq) = -0.98495093┬╖Xi_phi(half_sq) (damped)  (residual=1.14e-13, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(qtr_x4) = 12.699145┬╖qtr_x4 (Γûí-eigenvalue)  (residual=1.86e-09, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(qtr_x4) = -3.563586┬╖Xi_phi(qtr_x4) (damped)  (residual=5.82e-11, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(neg_inv_a) = 0.0540634┬╖neg_inv_a (Γûí-eigenvalue)  (residual=2.08e-17, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(neg_inv_a) = 0.23251538┬╖Xi_phi(neg_inv_a) (damped)  (residual=1.39e-17, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(H2) = -0.98495093┬╖Xi_phi(H2) (damped)  (residual=9.09e-13, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(L1) = -0.37621778┬╖Xi_phi(L1) (damped)  (residual=2.66e-15, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(P2) = -0.98495093┬╖Xi_phi(P2) (damped)  (residual=4.55e-13, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(half_x) = 0.14153982┬╖half_x (Γûí-eigenvalue)  (residual=8.88e-16, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(half_x) = -0.37621778┬╖Xi_phi(half_x) (damped)  (residual=1.33e-15, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(clip_para) = 0.37055605┬╖clip_para (Γûí-eigenvalue)  (residual=2.78e-17, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(clip_para) = 0.60873315┬╖Xi_phi(clip_para) (damped)  (residual=0.00e+00, pts=8)
    [MasterEq|Xi_phi] Γûí_{Xi_phi}(abs) = 0.14153982┬╖abs (Γûí-eigenvalue)  (residual=1.78e-15, pts=8)
